Time,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time (ms),Total Average Response Time (ms),Total Min Response Time (ms),Total Max Response Time (ms),Total Average Content Size,%CPU,%MEM,%Failure
18:27:06,156,,Aggregated,57.5,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2517,0,4.0,5.661407645241745,3.145236005366314,28.058013995178044,16129.116408422726,7.1,0.1,0.0
18:27:07,158,,Aggregated,59.3,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2574,0,4.0,5.661476125119962,3.145236005366314,28.058013995178044,16071.235431235433,7.2,0.1,0.0
18:27:08,160,,Aggregated,59.5,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2637,0,4.0,5.646425087228968,3.145236005366314,28.058013995178044,16048.047402351156,7.3,0.1,0.0
18:27:09,162,,Aggregated,59.0,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2701,0,4.0,5.681885390602724,3.145236005366314,28.058013995178044,16006.749722325065,7.4,0.1,0.0
18:27:10,164,,Aggregated,60.0,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2783,0,4.0,5.685606839038053,3.145236005366314,28.058013995178044,16046.647862019405,7.6,0.1,0.0
18:27:11,166,,Aggregated,60.3,0.0,5.0,5.0,7.0,7.0,9.0,12.0,14.0,16.0,27.0,28.0,28.0,2837,0,5.0,5.7125690948328245,3.145236005366314,28.058013995178044,16075.543179414875,7.7,0.1,0.0
18:27:12,168,,Aggregated,61.0,0.0,5.0,5.0,7.0,7.0,9.0,12.0,14.0,16.0,27.0,28.0,28.0,2903,0,5.0,5.713019858442775,3.145236005366314,28.058013995178044,16112.272132276956,7.7,0.1,0.0
18:27:13,170,,Aggregated,62.2,0.0,5.0,6.0,7.0,7.0,9.0,12.0,14.0,16.0,27.0,28.0,28.0,2961,0,5.0,5.738301634275653,3.145236005366314,28.058013995178044,16093.06315433975,7.8,0.1,0.0
18:27:14,172,,Aggregated,63.4,0.0,5.0,6.0,7.0,7.0,9.0,12.0,14.0,16.0,26.0,28.0,28.0,3031,0,5.0,5.752374662516981,3.145236005366314,28.058013995178044,16142.718244803697,,,0.0
18:27:15,174,,Aggregated,62.5,0.0,5.0,6.0,7.0,7.0,10.0,12.0,15.0,18.0,33.0,38.0,38.0,3109,0,5.0,5.903415867511304,3.145236005366314,38.08064000622835,16160.408813123193,8.0,0.1,0.0
18:27:16,176,,Aggregated,63.8,0.0,5.0,6.0,7.0,7.0,10.0,12.0,15.0,19.0,33.0,38.0,38.0,3179,0,5.0,5.920651895904364,3.145236005366314,38.08064000622835,16206.331865366468,8.1,0.1,0.0
18:27:17,178,,Aggregated,64.8,0.0,5.0,6.0,7.0,7.0,10.0,12.0,15.0,18.0,33.0,38.0,38.0,3234,0,5.0,5.9547886734965285,3.145236005366314,38.08064000622835,16201.990723562152,8.2,0.1,0.0
18:27:18,180,,Aggregated,65.5,0.0,5.0,6.0,7.0,8.0,10.0,12.0,16.0,19.0,33.0,38.0,38.0,3309,0,5.0,5.973789681806696,3.145236005366314,38.08064000622835,16210.084013297068,8.3,0.1,0.0
18:27:19,182,,Aggregated,66.3,0.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,19.0,33.0,38.0,38.0,3376,0,5.0,6.015500426858806,3.145236005366314,38.08064000622835,16181.129739336491,8.4,0.1,0.0
18:27:20,184,,Aggregated,66.7,0.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,20.0,33.0,38.0,38.0,3455,0,5.0,6.039722517528083,3.145236005366314,38.08064000622835,16129.162662807525,8.6,0.1,0.0
18:27:21,186,,Aggregated,67.2,0.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,20.0,33.0,38.0,38.0,3525,0,5.0,6.056325754054974,3.145236005366314,38.08064000622835,16140.411631205674,8.7,0.1,0.0
18:27:22,188,,Aggregated,67.3,0.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,20.0,33.0,38.0,38.0,3598,0,5.0,6.044634729855784,3.145236005366314,38.08064000622835,16117.857976653697,8.8,0.1,0.0
18:27:23,190,,Aggregated,68.9,0.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,20.0,33.0,38.0,38.0,3678,0,5.0,6.046226193047232,3.145236005366314,38.08064000622835,16115.0274605764,8.9,0.1,0.0
